,id,xcenter,ycenter,Bflux,Bfluxerr,Vflux,Vfluxerr,Rflux,Rfluxerr,Bflux_1sec,Vflux_1sec,Rflux_1sec,Bflux_1sec_err,Vflux_1sec_err,Rflux_1sec_err,Binst,Vinst,Rinst,Binst_err,Vinst_err,Rinst_err,Bmag,Bmag_err,Vmag,Vmag_err,Rmag,Rmag_err,B-V,B-V_err,V-R,V-R_err
463,464,2693.767041132788,3301.0530031650383,703.1972913498612,90.34680228057549,1363.906747269411,93.45621592658699,1444.2939471695522,99.2158385463718,70.31972913498612,136.39067472694109,144.42939471695522,9.03468022805755,9.345621592658699,9.92158385463718,-4.61769297301812,-5.3369616946230245,-5.399138977962833,0.1394008220456206,0.07434525452957338,0.07453412446529903,15.606340185338052,0.13951047276581582,14.05186171742334,0.07455122809875205,15.34048170344977,0.07465640833326316,1.5544784679147128,0.15818045904084865,-1.288619986026431,0.10550575773982708
464,465,3333.6862764584416,3307.956803123894,13305.420358468118,137.645098062448,34859.97946515206,185.12699590699393,59891.87748023102,234.04236768021985,1330.5420358468118,3485.9979465152055,5989.187748023102,13.7645098062448,18.51269959069939,23.404236768021985,-7.810071499450631,-8.85581781736424,-9.443419818715027,0.011224367766983536,0.005761988206558809,0.004239906638706679,12.41396165890554,0.012512763728095991,10.533005594682123,0.007991823825487398,11.296200862697576,0.0060183389501743765,1.880956064223417,0.014847171588312122,-0.763195268015453,0.010004481584610671
465,466,1394.92667924697,3319.5536986401544,7176.7525568068995,116.39064397533406,11455.739802839229,129.47682223440472,14540.578191697665,141.24777638283786,717.6752556806899,1145.573980283923,1454.0578191697664,11.639064397533406,12.947682223440472,14.124777638283785,-7.139819931741474,-7.647557852084197,-7.906454190391322,0.017596238370161114,0.012263053678079481,0.01053973475847635,13.084213226614697,0.01844479409281074,11.741265559962166,0.013455527692237266,12.83316649102128,0.011372317450426345,1.342947666652531,0.02283115534971347,-1.091900931059115,0.01761762837812841
466,467,1985.9421475297504,3321.586141468812,709.967704170524,90.70583918417007,1726.5383139091018,95.72755589266868,1716.8242945652914,100.58643788806936,70.9967704170524,172.65383139091017,171.68242945652915,9.070583918417007,9.572755589266867,10.058643788806936,-4.628096483700722,-5.592940550740147,-5.586814625780274,0.13862015826453206,0.06015759818754519,0.06356869800481774,15.595936674655448,0.13873042601257507,13.795882861306216,0.0604119637129869,15.152806055632329,0.06371203152813412,1.8000538133492316,0.1513133717200493,-1.3569231943261126,0.08779993349143951
467,468,98.21693579451322,3331.4882701013294,1353.6168228514089,93.27662843723958,2065.111605169038,97.01799116105902,2191.1632943072336,103.17917176859662,135.3616822851409,206.51116051690377,219.11632943072337,9.327662843723958,9.701799116105901,10.317917176859662,-5.328739357932215,-5.787358818188457,-5.851686860348536,0.0747664628171621,0.05097279979748731,0.051091309196251246,14.895293800423957,0.07497070618939598,13.601464593857907,0.05127275162461859,14.887933821064067,0.051269537454527364,1.2938292065660502,0.09082676833234003,-1.28646922720616,0.07250834800187501
468,469,2193.4741777284635,3336.102374532947,8218.484428121701,120.19478478829936,12903.553447779941,133.90790867953373,17066.01957192404,147.23845540058946,821.8484428121701,1290.355344777994,1706.601957192404,12.019478478829935,13.390790867953374,14.723845540058946,-7.286979341541812,-7.776773312618265,-8.08033059840353,0.01586805239285581,0.011259695362620541,0.009360924698132687,12.937053816814359,0.016804103995425427,11.6120500994281,0.01254788745662487,12.659290083009074,0.010289339464627824,1.3250037173862594,0.02097206214737112,-1.0472399835809743,0.01622713733973036
469,470,765.2539799984421,3337.3475684909768,961.4921968229,92.68645553027423,1258.4452571311544,97.5373851055629,1610.159659361545,102.6656592827469,96.14921968229001,125.84452571311544,161.0159659361545,9.268645553027422,9.75373851055629,10.26656592827469,-4.957364409968469,-5.249585820781759,-5.517172354275029,0.1045924289168941,0.0840942919366944,0.06918086642783565,15.266668748387701,0.10473852687088073,14.139237591264605,0.08427644200071033,15.222448327137574,0.06931259535697877,1.1274311571230964,0.1344346595464923,-1.083210735872969,0.1091180761900583
470,471,586.540908873351,3341.571723312178,1550.5597604279542,95.28703345806413,2385.6272290117563,99.7810348815062,3089.8167608357876,106.60260560715982,155.0559760427954,238.56272290117562,308.98167608357875,9.528703345806413,9.97810348815062,10.660260560715981,-5.476221272811868,-5.944006457691467,-6.2248318117355925,0.06667684402790444,0.04538111467284091,0.03743387910565985,14.747811885544303,0.0669057871478107,13.444816954354897,0.04571776797826685,14.51478886967701,0.03767676870846801,1.3029949311894065,0.08103393525420566,-1.0699719153221139,0.05924232616319211
471,472,1495.046675297347,3345.1239679772507,1548.8511057537917,94.78077135742075,2535.7115027294167,98.83209731200749,3163.2083481875134,107.50685752361105,154.88511057537917,253.57115027294168,316.32083481875134,9.478077135742074,9.883209731200749,10.750685752361104,-5.475024175357416,-6.010249601829543,-6.250319495350607,0.06639575394999181,0.042289048051445795,0.03687551611323812,14.749008982998756,0.06662566297557203,13.378573810216821,0.042650115182289915,14.489301186061997,0.037122059264430914,1.370435172781935,0.07910759313742964,-1.1107273758451761,0.05654272375022729
472,473,2140.3861464030597,3347.602977683921,908.1673473358028,92.4978350593166,1901.5003852035443,97.17464257840514,2293.4856583277956,103.95782491159214,90.81673473358028,190.15003852035443,229.34856583277957,9.24978350593166,9.717464257840515,10.395782491159213,-4.8954147075580146,-5.697741044316094,-5.901240071843022,0.11050843364251618,0.05544804934987349,0.04918026830449724,15.328618450798157,0.110646720378279,13.69108236773027,0.05572391691788286,14.838380609569581,0.04936539664498375,1.6375360830678858,0.12388644658371703,-1.1472982418393105,0.07444526380225733
